[2025-09-05 11:21:35] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:35] <INFO> octopus v0.5.2-beta
[2025-09-05 11:21:35] <INFO> Copyright (c) 2015-2018 University of Oxford
[2025-09-05 11:21:35] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:45] <INFO> Done initialising calling components in 10s
[2025-09-05 11:21:45] <INFO> Detected 1 sample: "SW620bc_DSIVb_L_DATAC_L10-SW620bc_DSIVb"
[2025-09-05 11:21:45] <INFO> Invoked calling model: individual
[2025-09-05 11:21:45] <INFO> Processing 3,101,804,739bp with a single thread
[2025-09-05 11:21:45] <INFO> Writing filtered calls to "/data/scratch/DMP/UCEC/GENEVOD/qguo/Projects/lp_mut/results/sample2/Variants_Octopus_v0.5.2/sample2.octopus.vcf.tmp"
[2025-09-05 11:21:45] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:45] <INFO>      current      |                   |     time      |     estimated   
[2025-09-05 11:21:45] <INFO>      position     |     completed     |     taken     |     ttc         
[2025-09-05 11:21:45] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:22:01] <INFO>      3:67625405            18.1%              16s            1m 29s
[2025-09-05 11:22:01] <INFO>      3:75067871            18.3%              16s            1m 28s
[2025-09-05 11:22:01] <INFO>      3:86351251            18.7%              16s            1m 25s
[2025-09-05 11:22:01] <INFO>     3:100268015            19.1%              16s            1m 23s
[2025-09-05 11:22:01] <INFO>     3:107646895            19.3%              16s            1m 21s
[2025-09-05 11:22:01] <INFO>     3:113582499            19.5%              16s            1m 21s
[2025-09-05 11:22:01] <INFO>     3:117426258            19.7%              16s            1m 20s
[2025-09-05 11:22:01] <INFO>     3:122298120            19.8%              16s            1m 19s
[2025-09-05 11:22:01] <INFO>     3:128686311            20.0%              16s            1m 18s
[2025-09-05 11:22:01] <INFO>     3:135668836            20.3%              16s            1m 17s
[2025-09-05 11:22:01] <INFO>     3:148820356            20.7%              16s            1m 15s
[2025-09-05 11:22:01] <INFO>     3:155720023            20.9%              16s            1m 14s
[2025-09-05 11:22:01] <INFO>     3:159132612            21.0%              16s            1m 13s
[2025-09-05 11:22:01] <INFO>     3:166841007            21.3%              16s            1m 12s
[2025-09-05 11:22:01] <INFO>     3:171926691            21.4%              16s            1m 12s
[2025-09-05 11:22:01] <INFO>     3:177513140            21.6%              16s            1m 11s
[2025-09-05 11:22:01] <INFO>     3:186260740            21.9%              16s            1m 10s
[2025-09-05 11:22:01] <INFO>     3:191043229            22.0%              16s            1m 10s
[2025-09-05 11:22:01] <INFO>     3:196347312            22.2%              16s             1m 9s
[2025-09-05 11:22:05] <INFO>       4:5145433            22.4%              20s            1m 24s
[2025-09-05 11:22:05] <INFO>       4:8762660            22.5%              20s            1m 23s
[2025-09-05 11:22:05] <INFO>      4:12792366            22.7%              20s            1m 23s
[2025-09-05 11:22:05] <INFO>      4:22873747            23.0%              20s            1m 21s
[2025-09-05 11:22:05] <INFO>      4:29410705            23.2%              20s            1m 20s
[2025-09-05 11:22:05] <INFO>      4:35906032            23.4%              20s            1m 19s
[2025-09-05 11:22:05] <INFO>      4:44975043            23.7%              20s            1m 18s
[2025-09-05 11:22:05] <INFO>      4:49099753            23.8%              20s            1m 17s
[2025-09-05 11:22:05] <INFO>      4:61248677            24.2%              20s            1m 16s
[2025-09-05 11:22:05] <INFO>      4:67957320            24.5%              20s            1m 15s
[2025-09-05 11:22:05] <INFO>      4:73541657            24.6%              20s            1m 14s
[2025-09-05 11:22:05] <INFO>      4:77584089            24.8%              20s            1m 14s
[2025-09-05 11:22:05] <INFO>      4:82674038            24.9%              20s            1m 13s
[2025-09-05 11:22:05] <INFO>      4:90097888            25.2%              20s            1m 12s
[2025-09-05 11:22:05] <INFO>     4:103907596            25.6%              20s            1m 10s
[2025-09-05 11:22:05] <INFO>     4:108838702            25.8%              20s            1m 10s
[2025-09-05 11:22:05] <INFO>     4:134947801            26.6%              20s             1m 7s
[2025-09-05 11:22:05] <INFO>     4:144549660            26.9%              20s             1m 5s
[2025-09-05 11:22:05] <INFO>     4:152723167            27.2%              20s             1m 5s
[2025-09-05 11:22:05] <INFO>     4:155926940            27.3%              20s             1m 4s
[2025-09-05 11:22:05] <INFO>     4:170161612            27.7%              20s             1m 3s
[2025-09-05 11:22:05] <INFO>     4:177857218            28.0%              20s             1m 2s
[2025-09-05 11:22:05] <INFO>     4:181732821            28.1%              20s             1m 1s
[2025-09-05 11:22:05] <INFO>     4:188348218            28.3%              20s             1m 1s
[2025-09-05 11:22:08] <INFO>        5:934464            28.5%              23s            1m 11s
[2025-09-05 11:22:08] <INFO>       5:6931102            28.6%              23s            1m 10s
[2025-09-05 11:22:08] <INFO>      5:13665834            28.9%              23s             1m 9s
